	colA-1000	colA-1400	colA-600	colA-top	colB-1000	colB-1400	colB-1750	colB-600	colB-top	colC-1000	colC-1400	colC-1750	colC-600	colC-top
ASV_1	7731	8209	9196	7422	12407	10428	10531	8519	11075	8339	10196	9750	10955	11439
ASV_2	5942	6192	7453	5413	8916	8382	8392	5943	7775	7146	8248	7928	8956	7759
ASV_3	684	953	825	820	31	32	138	20	24	4518	4858	4867	5254	5625
ASV_4	724	716	540	605	1555	1704	2175	1433	1723	229	286	212	218	326
ASV_5	1040	999	638	886	1774	1718	1993	1526	1083	35	52	24	56	61
ASV_6	49	34	22	25	1329	1184	919	1072	1264	45	53	41	56	66
ASV_7	227	330	289	278	359	327	310	203	387	353	436	410	501	439
ASV_8	329	294	750	379	126	226	354	213	142	375	400	498	371	322
ASV_9	180	217	198	286	924	624	848	526	235	2	10	4	5	14
ASV_10	130	161	180	161	536	457	374	318	508	178	236	211	263	215
ASV_11	263	271	574	249	90	151	237	138	129	217	264	359	236	204
ASV_13	394	461	346	389	102	128	177	59	124	78	98	88	74	125
ASV_14	251	212	171	177	7	11	35	23	42	203	238	227	245	333
ASV_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_16	3	15	5	6	89	96	151	87	147	258	350	311	278	375
ASV_18	52	34	34	34	144	137	156	117	173	93	150	143	163	223
ASV_19	208	214	156	177	27	40	46	35	51	80	165	137	92	175
ASV_20	270	341	286	221	33	36	77	27	30	11	10	14	12	5
ASV_21	49	60	44	68	169	208	277	128	165	38	45	24	25	28
ASV_22	69	37	37	29	168	248	275	188	201	4	10	9	4	5
ASV_23	100	97	207	92	27	63	84	34	47	91	105	151	88	84
ASV_24	92	60	56	31	0	0	7	0	0	182	189	224	208	196
ASV_25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_26	82	74	57	29	0	0	2	0	0	149	233	198	193	219
ASV_27	277	325	240	339	3	8	6	3	4	0	0	0	0	0
ASV_28	94	131	108	281	67	47	70	34	73	33	50	50	56	80
ASV_29	309	248	202	167	7	6	8	5	4	19	34	21	30	20
ASV_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_32	48	36	33	23	83	110	141	117	183	60	56	47	59	73
ASV_33	327	293	235	140	0	0	0	0	0	0	1	0	0	0
ASV_34	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_35	67	83	57	30	87	162	125	93	136	15	12	8	18	12
ASV_36	43	25	13	33	106	91	78	86	84	54	76	62	47	96
ASV_37	123	107	83	106	106	60	67	49	49	29	18	25	39	29
ASV_38	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_39	12	28	11	15	108	120	172	79	102	22	14	23	19	32
ASV_40	18	20	9	9	19	11	13	18	23	89	120	106	139	159
ASV_41	155	197	115	126	23	28	35	43	20	1	2	0	1	0
ASV_42	62	34	30	22	84	54	59	29	78	36	46	46	38	73
ASV_43	52	34	23	24	34	32	57	40	37	64	82	76	51	83
ASV_44	105	123	71	67	27	50	84	32	29	9	22	25	22	15
ASV_45	24	29	37	50	70	100	101	78	68	23	14	15	21	31
ASV_46	43	41	22	24	82	122	140	71	95	3	2	10	5	1
ASV_47	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_48	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_49	27	14	7	11	0	0	8	0	0	91	104	110	109	119
ASV_50	0	0	0	0	48	152	234	69	91	0	0	0	0	0
ASV_51	0	4	2	9	53	67	115	51	60	48	43	26	33	62
ASV_52	55	49	136	28	19	31	45	18	31	29	39	43	23	28
ASV_53	132	157	158	95	1	6	3	4	0	2	0	2	0	0
ASV_54	0	0	0	0	0	0	7	0	0	76	136	95	108	129
ASV_55	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_56	11	12	12	3	0	0	4	0	0	78	101	113	80	105
ASV_57	25	25	18	34	38	53	79	68	24	7	30	12	21	21
ASV_58	13	11	12	19	0	0	2	1	0	77	68	81	82	89
ASV_59	53	37	78	25	10	24	34	21	16	28	36	34	32	25
ASV_60	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_61	33	32	48	31	12	29	34	21	12	25	32	56	32	24
ASV_63	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_64	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_65	36	46	33	38	16	23	34	17	35	24	19	23	20	27
ASV_66	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_67	7	8	0	8	4	2	3	3	3	39	64	60	70	111
ASV_68	43	69	48	84	18	39	40	25	14	0	1	0	0	0
ASV_69	0	8	0	0	4	0	11	0	1	47	76	56	48	75
ASV_70	31	22	58	28	11	17	36	10	12	30	33	47	15	25
ASV_71	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_72	7	14	20	14	14	10	25	12	11	38	59	47	44	46
ASV_73	5	12	1	7	17	20	27	11	20	35	46	40	46	33
ASV_74	15	14	7	23	23	26	31	16	33	14	27	23	18	37
ASV_75	52	44	25	54	23	17	28	12	18	0	3	4	8	17
ASV_76	8	5	3	0	0	0	0	0	0	58	59	49	42	57
ASV_77	0	2	0	2	32	68	106	26	42	0	0	0	0	0
ASV_78	0	0	0	0	35	72	99	42	21	0	0	0	0	0
ASV_79	62	61	55	42	4	13	7	3	19	1	0	0	0	0
ASV_80	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_81	1	0	0	2	54	47	37	33	86	0	0	0	0	0
ASV_82	14	27	35	15	4	11	5	0	8	19	30	35	22	28
ASV_83	2	3	0	1	27	36	19	18	31	22	21	23	18	32
ASV_84	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_85	46	32	37	11	8	27	43	13	29	0	0	0	0	0
ASV_86	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_87	3	3	3	0	0	2	0	2	0	23	61	43	34	52
ASV_88	4	6	4	3	4	0	6	3	0	46	28	30	37	48
ASV_89	3	0	0	0	0	0	0	0	0	42	37	35	51	46
ASV_90	0	0	0	0	0	0	0	0	0	0	0	0	0	0
