"","reads.in","reads.out","perc_kept"
"MD-DNAexNeg-BTKlot58102910-250620-16s_S209_L001_R1_001.fastq.gz",22021,17573,0.798010989510013
"MD-PCRneg-Q5lot10267531-250702-16s_S224_L001_R1_001.fastq.gz",16435,12954,0.788195923334347
"MD-colA-1000-20250619-16s_S222_L001_R1_001.fastq.gz",42040,32949,0.783753568030447
"MD-colA-1400-20250619-16s_S223_L001_R1_001.fastq.gz",46316,36726,0.792944122981259
"MD-colA-600-20250619-16s_S221_L001_R1_001.fastq.gz",46555,35719,0.767243045859736
"MD-colA-top-20250619-16s_S220_L001_R1_001.fastq.gz",45118,35028,0.776364200540804
"MD-colB-1000-20250225-16s_S212_L001_R1_001.fastq.gz",54491,42527,0.780440806738728
"MD-colB-1400-20250225-16s_S213_L001_R1_001.fastq.gz",52105,40760,0.782266577103925
"MD-colB-1750-20250225-16s_S214_L001_R1_001.fastq.gz",56961,44945,0.789048647320096
"MD-colB-600-20250225-16s_S211_L001_R1_001.fastq.gz",42971,33732,0.784994531195457
"MD-colB-top-20250225-16s_S210_L001_R1_001.fastq.gz",44383,35521,0.800328954779983
"MD-colC-1000-20250225-16s_S217_L001_R1_001.fastq.gz",44973,35188,0.782425010561893
"MD-colC-1400-20250225-16s_S218_L001_R1_001.fastq.gz",52258,41499,0.794117647058823
"MD-colC-1750-20250225-16s_S219_L001_R1_001.fastq.gz",52245,40208,0.769604746865729
"MD-colC-600-20250225-16s_S216_L001_R1_001.fastq.gz",52928,41907,0.791773730350665
"MD-colC-top-20250225-16s_S215_L001_R1_001.fastq.gz",56013,44799,0.799796475818114
