"","x"
"MD-DNAexNeg-BTKlot58102910-250620-16s",0.939575830332133
"MD-PCRneg-Q5lot10267531-250702-16s",0.703669226592196
"MD-colA-1000-20250619-16s",0.919391799826582
"MD-colA-1400-20250619-16s",0.912816940651992
"MD-colA-600-20250619-16s",0.935486624928856
"MD-colA-top-20250619-16s",0.900668073136428
"MD-colB-1000-20250225-16s",0.949753412908298
"MD-colB-1400-20250225-16s",0.944865592738517
"MD-colB-1750-20250225-16s",0.939374067206368
"MD-colB-600-20250225-16s",0.942314064523903
"MD-colB-top-20250225-16s",0.959415676689592
"MD-colC-1000-20250225-16s",0.94875843261088
"MD-colC-1400-20250225-16s",0.946563398119733
"MD-colC-1750-20250225-16s",0.948992443324937
"MD-colC-600-20250225-16s",0.950592314360012
"MD-colC-top-20250225-16s",0.944811812129173
