	samp	input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
MD-DNAexNeg-BTKlot58102910-250620-16s	MD-DNAexNeg-BTKlot58102910-250620-16s	22021	17573	17493	17407	16436	16221	73.7
MD-PCRneg-Q5lot10267531-250702-16s	MD-PCRneg-Q5lot10267531-250702-16s	16435	12954	12891	12915	9071	9060	55.1
MD-colA-1000-20250619-16s	MD-colA-1000-20250619-16s	42040	32949	32292	32392	29689	22524	53.6
MD-colA-1400-20250619-16s	MD-colA-1400-20250619-16s	46316	36726	35890	36023	32761	23607	51
MD-colA-600-20250619-16s	MD-colA-600-20250619-16s	46555	35719	35140	35141	32873	25068	53.8
MD-colA-top-20250619-16s	MD-colA-top-20250619-16s	45118	35028	34128	34284	30738	20784	46.1
MD-colB-1000-20250225-16s	MD-colB-1000-20250225-16s	54491	42527	41973	42031	39864	30984	56.9
MD-colB-1400-20250225-16s	MD-colB-1400-20250225-16s	52105	40760	40102	40106	37891	28891	55.4
MD-colB-1750-20250225-16s	MD-colB-1750-20250225-16s	56961	44945	44222	44259	41541	30961	54.4
MD-colB-600-20250225-16s	MD-colB-600-20250225-16s	42971	33732	33197	33240	31282	22627	52.7
MD-colB-top-20250225-16s	MD-colB-top-20250225-16s	44383	35521	35186	35168	33758	27769	62.6
MD-colC-1000-20250225-16s	MD-colC-1000-20250225-16s	44973	35188	34835	34866	33050	24528	54.5
MD-colC-1400-20250225-16s	MD-colC-1400-20250225-16s	52258	41499	41058	41085	38864	28951	55.4
MD-colC-1750-20250225-16s	MD-colC-1750-20250225-16s	52245	40208	39700	39857	37675	28056	53.7
MD-colC-600-20250225-16s	MD-colC-600-20250225-16s	52928	41907	41532	41515	39480	30418	57.5
MD-colC-top-20250225-16s	MD-colC-top-20250225-16s	56013	44799	44158	44352	41721	31017	55.4
