	colA-1000	colA-1400	colA-600	colA-top	colB-1000	colB-1400	colB-1750	colB-600	colB-top	colC-1000	colC-1400	colC-1750	colC-600	colC-top		
ASV_1	59784	51922	69500	50096	96288	85922	70355	73309	96529	59034	65699	73604	76221	70138		
ASV_2	6	15	5	2	0	0	0	0	0	4	3	0	3	0		
ASV_3	1856	8669	6483	8845	8373	5843	2829	4985	4	4	114	5	40	2		
ASV_4	2469	1961	4201	1368	873	1768	1515	1357	1694	2562	1492	2929	1753	1410		
ASV_5	35	50	22	38	36	88	87	89	211	13	18	20	20	13		
ASV_6	109	110	74	235	120	137	144	130	8	1755	2034	1655	2546	2511		
ASV_8	307	273	258	332	473	387	291	255	484	400	511	505	583	513		
ASV_9	78	55	60	123	156	103	82	154	45	637	746	650	888	708		
ASV_10	223	258	253	281	479	351	166	319	435	251	283	256	323	263		
ASV_11	142	714	496	728	578	502	265	356	0	0	13	0	10	0		
ASV_12	201	196	234	218	386	299	210	223	390	196	244	192	337	233		
ASV_13	123	150	89	127	265	240	165	179	262	129	130	132	142	139		
ASV_14	507	456	246	467	0	127	0	0	0	241	338	218	262	340		
ASV_15	85	500	385	528	545	437	162	533	0	0	8	0	1	0		
ASV_16	184	170	173	145	228	205	131	159	203	186	258	276	335	294		
ASV_17	31	181	74	133	479	118	517	1339	0	0	0	0	1	0		
ASV_18	82	340	278	369	512	295	245	647	0	0	2	0	0	0		
ASV_19	103	131	285	82	204	352	426	265	387	82	72	114	76	65		
ASV_20	269	186	472	142	142	136	0	99	200	142	142	176	182	167		
ASV_21	72	393	273	418	411	316	165	235	0	1	9	0	0	0		
ASV_22	0	0	0	0	0	0	3	0	0	196	187	126	722	616		
ASV_24	105	65	76	100	100	67	62	72	212	152	147	131	136	150		
ASV_25	302	308	139	312	69	161	131	84	0	0	0	0	0	1		
ASV_27	37	2	12	41	198	182	103	204	1	0	33	19	24	0		
ASV_28	53	233	144	239	258	210	67	195	0	0	6	0	4	0		
ASV_29	85	81	75	105	158	109	78	108	65	70	95	86	88	85		
ASV_30	68	213	151	245	254	125	114	120	0	0	5	0	0	0		
ASV_31	14	4	0	0	33	34	29	19	0	160	217	123	316	336		
ASV_32	86	68	51	37	90	75	83	75	54	50	57	49	56	70		
ASV_33	259	136	259	247	0	0	0	0	0	0	0	0	0	0		
ASV_34	14	12	14	10	230	221	147	135	59	0	0	0	3	0		
ASV_35	0	54	41	63	92	67	0	58	88	55	75	58	105	76		
ASV_36	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_37	18	162	101	180	147	108	21	77	0	0	0	0	0	0		
ASV_38	18	131	86	183	119	97	67	88	0	0	0	0	0	0		
ASV_39	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_40	0	2	2	2	0	9	2	1	0	153	211	179	126	98		
ASV_41	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_42	61	0	0	67	17	24	0	45	46	0	95	97	123	99		
ASV_43	0	0	1	4	25	35	39	15	0	80	124	70	167	104		
ASV_44	58	83	57	49	37	65	45	30	58	27	23	17	42	40		
ASV_45	82	86	36	67	13	16	44	25	19	0	62	0	80	107		
ASV_47	29	110	76	115	90	83	46	64	0	0	0	0	0	0		
ASV_48	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_49	12	96	94	112	80	52	75	67	0	0	0	0	0	0		
ASV_50	95	90	48	76	12	0	0	27	0	44	25	68	58	33		
ASV_51	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_52	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_53	0	0	0	0	0	0	0	0	0	75	149	114	122	78		
ASV_54	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_55	85	54	26	84	36	72	61	52	49	3	0	0	0	3		
ASV_56	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_57	0	0	0	0	4	4	2	0	1	86	97	107	114	85		
ASV_58	152	84	126	136	0	0	0	0	0	0	0	0	0	0		
ASV_59	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_60	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_61	0	0	30	36	0	46	29	0	25	0	84	64	79	91		
ASV_63	5	73	54	102	47	77	29	52	0	0	0	1	0	0		
ASV_64	4	5	0	2	0	0	1	1	0	55	74	77	107	107		
ASV_65	85	95	98	105	1	19	14	15	0	0	0	0	0	0		
ASV_66	0	0	0	0	6	4	0	2	0	87	80	82	108	54		
ASV_67	15	25	16	42	50	24	46	36	0	26	29	19	37	45		
ASV_68	0	0	0	0	92	27	86	210	0	0	0	0	0	0		
ASV_69	25	47	60	56	54	43	44	60	0	0	1	0	0	0		
ASV_70	24	74	62	77	70	14	29	34	0	0	0	0	0	0		
ASV_71	16	61	56	68	63	53	22	31	0	0	1	0	0	0		
ASV_72	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_73	4	1	3	1	13	11	9	5	3	63	74	59	56	55		
ASV_74	28	10	2	12	53	89	77	69	6	0	0	0	0	0		
ASV_75	14	44	24	53	86	66	20	35	0	0	1	0	0	0		
ASV_76	6	0	3	0	0	0	0	0	1	18	12	16	116	165		
ASV_77	0	0	0	0	49	71	48	66	96	0	0	0	0	1		
ASV_79	12	70	33	83	51	23	27	13	0	0	2	0	0	0		
ASV_80	23	55	26	60	42	47	20	33	0	0	0	0	0	0		
ASV_82	14	32	52	42	52	21	46	34	0	0	7	0	0	0		
ASV_83	1	0	1	0	14	7	2	8	3	45	49	61	53	51		
ASV_84	14	35	24	64	61	33	8	31	0	0	0	0	0	0		
ASV_85	20	12	9	21	9	24	21	45	46	12	10	14	14	9		
ASV_86	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_87	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_88	14	36	26	49	36	30	11	42	0	0	0	0	1	0		
ASV_89	0	0	0	0	64	0	103	78	0	0	0	0	0	0		
ASV_90	0	2	5	0	10	7	2	2	0	41	40	54	50	29		
ASV_91	0	0	0	0	36	60	55	51	34	0	0	0	1	1		
ASV_92	40	39	16	37	8	17	6	14	0	0	7	13	16	6		
ASV_93	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_94	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_95	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_96	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_97	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_98	0	0	0	0	0	0	0	0	0	16	5	8	68	100		
ASV_99	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_102	0	0	0	0	38	54	34	60	0	0	0	0	0	1		
ASV_103	12	5	4	4	18	46	35	22	0	5	8	3	6	7		
ASV_104	0	0	0	0	21	90	42	21	0	3	0	0	0	1		
ASV_105	0	0	0	0	2	0	0	0	0	29	47	44	26	26		
ASV_106	0	0	0	0	0	0	0	0	0	25	39	25	39	43		
ASV_107	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_108	55	71	0	0	12	0	0	21	0	0	0	0	0	0		
ASV_110	3	0	0	0	15	34	41	54	0	5	2	0	0	0		
ASV_111	2	7	0	2	0	0	2	0	0	20	33	22	27	37		
ASV_113	0	0	3	4	3	5	0	4	0	26	25	23	29	19		
ASV_114	6	0	3	8	0	5	0	2	0	15	28	26	23	24		
ASV_115	0	0	0	45	0	11	23	0	0	0	22	0	0	31		
ASV_116	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_118	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_119	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_120	0	0	3	0	0	0	0	2	0	20	19	9	23	34		
ASV_121	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_122	3	8	3	4	16	14	17	17	19	0	0	1	5	1		
ASV_123	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_124	10	0	7	5	13	0	0	6	13	7	5	8	14	15		
ASV_125	0	0	0	0	0	0	1	0	0	11	25	17	16	29		
ASV_126	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_127	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_128	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_129	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_131	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_132	0	2	0	0	2	2	0	9	0	14	11	13	15	22		
ASV_133	0	1	0	1	17	4	0	9	0	3	3	22	19	8		
ASV_134	0	0	0	1	0	1	0	0	0	15	20	26	9	8		
ASV_135	0	0	0	0	0	0	0	0	0	77	0	0	0	0		
ASV_136	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_137	0	0	0	0	9	31	13	19	0	0	0	0	0	0		
ASV_138	0	0	0	0	0	2	0	0	0	13	21	13	10	13		
ASV_139	18	0	0	18	0	0	0	0	0	0	0	32	0	0		
ASV_140	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
ASV_141	3	0	2	0	0	0	0	0	0	7	13	7	14	13		
ASV_142	0	0	0	0	16	19	0	22	0	0	0	0	0	0		
ASV_143	0	1	0	2	3	0	2	5	0	3	11	8	13	8		
ASV_144	0	0	0	0	18	0	18	19	0	0	0	0	0	0		
ASV_145	0	0	0	0	0	0	0	0	0	7	10	3	13	21		
ASV_146	0	0	0	0	4	0	14	33	0	0	0	0	0	0		
ASV_148	0	0	0	0	12	0	19	16	0	0	0	0	0	0		
ASV_149	0	0	0	0	0	0	0	0	47	0	0	0	0	0		
ASV_150	0	0	0	0	0	0	0	0	0	5	14	4	14	9		
