"ASV","contaminant","p_prev"
"ASV_1",FALSE,0.5
"ASV_2",FALSE,0.5
"ASV_3",FALSE,0.5
"ASV_4",FALSE,0.9375
"ASV_5",FALSE,0.5
"ASV_6",FALSE,0.9375
"ASV_7",TRUE,0.325
"ASV_8",FALSE,0.995833333333333
"ASV_9",FALSE,0.9375
"ASV_10",FALSE,0.9375
"ASV_11",FALSE,0.6875
"ASV_12",FALSE,0.995833333333333
"ASV_13",FALSE,0.9375
"ASV_14",FALSE,0.6875
"ASV_15",FALSE,0.6875
"ASV_16",FALSE,0.995833333333333
"ASV_17",FALSE,0.625
"ASV_18",FALSE,0.625
"ASV_19",FALSE,0.995833333333333
"ASV_20",FALSE,0.9875
"ASV_21",FALSE,0.6875
"ASV_22",FALSE,0.8125
"ASV_23",TRUE,0.025
"ASV_24",FALSE,0.995833333333333
"ASV_25",FALSE,0.625
"ASV_26",TRUE,0.3125
"ASV_27",FALSE,0.8125
"ASV_28",FALSE,0.6875
"ASV_29",FALSE,0.9375
"ASV_30",FALSE,0.625
"ASV_31",FALSE,0.75
"ASV_32",FALSE,0.9375
"ASV_33",FALSE,0.725
"ASV_34",FALSE,0.9375
"ASV_35",FALSE,0.975
"ASV_36",FALSE,NA
"ASV_37",FALSE,0.883333333333333
"ASV_38",FALSE,0.5625
"ASV_39",FALSE,NA
"ASV_40",FALSE,0.958333333333333
"ASV_41",FALSE,NA
"ASV_42",FALSE,0.9375
"ASV_43",FALSE,0.75
"ASV_44",FALSE,0.9375
"ASV_45",FALSE,0.8125
"ASV_46",TRUE,0.0875
"ASV_47",FALSE,0.5625
"ASV_48",FALSE,NA
"ASV_49",FALSE,0.883333333333333
"ASV_50",FALSE,0.75
"ASV_51",FALSE,NA
"ASV_52",FALSE,NA
"ASV_53",FALSE,0.770833333333333
"ASV_54",FALSE,NA
"ASV_55",FALSE,0.75
"ASV_56",FALSE,NA
"ASV_57",FALSE,0.9125
"ASV_58",FALSE,0.725
"ASV_59",FALSE,NA
"ASV_60",FALSE,NA
"ASV_61",FALSE,0.625
"ASV_62",TRUE,0.0125000000000001
"ASV_63",FALSE,0.625
"ASV_64",FALSE,0.6875
"ASV_65",FALSE,0.5625
"ASV_66",FALSE,0.883333333333333
"ASV_67",FALSE,0.875
"ASV_68",FALSE,0.725
"ASV_69",FALSE,0.9125
"ASV_70",FALSE,0.5625
"ASV_71",FALSE,0.9125
"ASV_72",FALSE,NA
"ASV_73",FALSE,0.995833333333333
"ASV_74",FALSE,0.9125
"ASV_75",FALSE,0.625
"ASV_76",FALSE,0.883333333333333
"ASV_77",FALSE,0.8125
"ASV_78",TRUE,0.3125
"ASV_79",FALSE,0.9125
"ASV_80",FALSE,0.5625
"ASV_81",TRUE,0.375
"ASV_82",FALSE,0.625
"ASV_83",FALSE,0.975
"ASV_84",FALSE,0.5625
"ASV_85",FALSE,0.9375
"ASV_86",FALSE,NA
"ASV_87",FALSE,NA
"ASV_88",FALSE,0.625
"ASV_89",FALSE,0.675
"ASV_90",FALSE,0.958333333333333
"ASV_91",FALSE,0.5
"ASV_92",FALSE,0.8125
"ASV_93",FALSE,NA
"ASV_94",FALSE,NA
"ASV_95",FALSE,NA
"ASV_96",FALSE,NA
"ASV_97",FALSE,NA
"ASV_98",FALSE,0.770833333333333
"ASV_99",FALSE,NA
"ASV_100",TRUE,0.4375
"ASV_101",TRUE,0.3125
"ASV_102",FALSE,0.770833333333333
"ASV_103",FALSE,0.875
